,id,class,tags,name_ru,operator,tags_ru,opening_hours,class_ru,addr_region,addr_district,addr_city,addr_full_name,index_name,addr_region_id,addr_district_id,addr_city_id,addr_house_id,addr_in_id,addr_in_type,brand,phone,fax,website,addr_village,addr_street,addr_house,c_geom,addr_country,email,description,wikipedia,osm_id,lat,lon,nclass
576,193871459,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Вятская улица,27 с9,0101000020E61000002D335B681DCA42408621174108E64B40,Российская Федерация,,,,w165814767,55.7971269,37.57902245,substation
577,193878365,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,проспект Андропова,48 с4,0101000020E610000054C2137A7DD442407BAB09FDA7D54B40,Российская Федерация,,,,w185177724,55.6691891,37.66007925,substation
578,193885378,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000EF85B828E9C44240E036AEDA10D44B40,Российская Федерация,,,,w205059658,55.65676435,37.53836545,substation
579,193881215,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E61000004DBDC05B97C042404ED37C7459EC4B40,Российская Федерация,,,,w193114494,55.8464799508571,37.5046190920935,substation
580,193876428,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000CF520D5677C14240ECB6B01383DF4B40,Российская Федерация,,,,w179780362,55.74618765,37.51145435,substation
581,193873911,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,улица Большие Каменщики,19 с3,0101000020E6100000171A3ED818D4424030D978B045DE4B40,Российская Федерация,,,,w171878893,55.73650175,37.6570082,substation
582,193875508,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,,,0101000020E6100000AF8A6E3B07CB4240401091ADFBDE4B40,Российская Федерация,,,,w176321375,55.7420556028669,37.58615820787,substation
583,193875509,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Смоленский бульвар,24 с5,0101000020E61000001F301E9F1FCB4240D37AD9A016DF4B40,Российская Федерация,,,,w176321376,55.742878061477,37.5869025132563,substation
584,193880915,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,улица Тимура Фрунзе,11 с51,0101000020E6100000C43C0AB7FFCA424059A2F01C1FDE4B40,Российская Федерация,,,,w192186039,55.735324494836,37.585928802489,substation
585,193882544,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,улица Симоновский Вал,7А с3,0101000020E6100000099744AC34D54240C19F861428DD4B40,Российская Федерация,,,,w196099548,55.72778565,37.66566995,substation
586,193874675,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Плотников переулок,10 с2,0101000020E61000008A1C22B37ECB42406F4318FD72DF4B40,Российская Федерация,,,,w173212527,55.745696675155,37.589804069191,substation
587,193870961,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,2-й Казачий переулок,3 с3,0101000020E610000033CF876D95CF4240DA0A2C2EF7DD4B40,Российская Федерация,,,,w164210808,55.734105845933,37.6217476761944,substation
588,193875222,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Никитский бульвар,17 с3,0101000020E610000057F4E2FE8ACC4240D19F673CD7E04B40,Российская Федерация,,,,w175332952,55.7565684801081,37.5979918106247,substation
589,193875053,substation,{},,,"{'Напряжения': None, 'Газовая изоляция': 'неизвестно'}",,Подстанция,Москва,,,"Российская Федерация, Москва","Подстанция ,  , Москва, Российская Федерация, ",787547493,,,,787547493,10,,,,,,Верхняя Радищевская улица,14 с2,0101000020E6100000DB97B7BF22D34240F4DD4C9A40DF4B40,Российская Федерация,,,,w174492062,55.7441590190246,37.6494979521228,substation
